,Model,Price
140,"HP Victus 16 2021 Ryzen 5 5600H / AMD Radeon™ RX 5500M 4096MB / 8GB RAM / 256GB SSD / 15.6"" FHD display","NPR105,000.00"
141,"Acer Nitro 5 2021 i5 11TH GEN/ GTX 1650/ 15.6"" FHD 144Hz/ 8GB RAM/ 512GB SSD","NPR110,000.00"
142,"Acer Nitro 5 2020 i5 10TH GEN / RTX 2060 / 8GB RAM / 256GB SSD / 1TB HDD / 15.6"" FHD / RGB Keyboard","NPR113,000.00"
143,"MSI Summit B15 A11M  i5 11th Gen / 8GB RAM / Iris Xe /  512GB SSD / 15.6"" FHD Display","NPR115,000.00"
144,"MSI Modern 15 A11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 15.6"" FHD","NPR115,000.00"
145,"MSI Modern 14 B11SB i5 11th Gen / GeForce MX450 / 8GB RAM / 512GB SSD / 14"" FHD","NPR115,000.00"
146,"Lenovo IdeaPad 5 2022 14 Ryzen 7 5825U / 16GB RAM / 1TB SSD / 14"" FHD display / Backlight Keyboard","NPR118,000.00"
147,"Acer Nitro 5 2022 i5 12th Gen 12500H / RTX 3050 / 8GB RAM / 512GB SSD / 15.6"" FHD 144Hz display / RED backlight Keyboard","NPR119,900.00"
148,Lenovo Legion 5 2021 Ryzen 5 5600H / RTX 3050ti / 8GB RAM  /  512GB SSD / 15.6'' 120Hz Display / White Backlight Keyboard,"NPR120,000.00"
149,"HP Victus 16 2021 i5 11400H 6 Core /  NVIDIA GTX 1650 / 8GB RAM / 512GB SSD / 16.1""  144hz FHD display","NPR120,000.00"
150,"MSI GF63 Thin 10UD i5 10TH GEN / RTX 3050Ti / 8GB RAM / 512GB SSD / 15.6"" 144Hz FHD Display / Backlight Keyboard","NPR120,000.00"
151,"Lenovo Yoga Slim 7 15ITL05 i5 11th Gen / 16GB RAM / 512GB SSD / 15.6"" FHD display","NPR120,000.00"
152,"MSI GL65 9ScK  i7 9TH GEN/ 256GB SSD/ 8GB RAM/ GTX 1650/ 15.6"" 120Hz FHD display","NPR120,000.00"
153,MSI Bravo 15 A4DDR Ryzen 7 4800H / RX5500M / 8GB RAM / 512GB SSD / 15.6'' 144Hz FHD display,"NPR123,000.00"
154,"MSI GF65 10SDR i5 10TH GEN/ 8GB RAM/ 512GB SSD/ GTX 1660TI / 15.6"" FHD 120Hz","NPR125,000.00"
